File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session0.bytes,18.59584,6,3,3,7.500019,13.86001,36.928,2, 1
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session1.bytes,17.45692,11,3,12,21.46999,11.02999,53.42801,1, 4
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session2.bytes,16.74858,4,3,3,9.300014,7.420014,32.82401,0, 4
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session3.bytes,15.09866,9,3,10,28.49999,4.720011,40.72001,2, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session4.bytes,19.70122,8,5,8,10.02001,9.160007,31.46001,2, 4
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session5.bytes,15.29077,3,3,2,4.040004,3.450012,17.32401,2, 3
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session6.bytes,15.14892,5,0,5,9.900003,6.000002,29.4,2, 2
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session7.bytes,15.17686,5,0,5,7.800003,9.000002,27.87201,1, 2
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session8.bytes,19.48857,9,3,8,17.40001,15.27999,55.20401,2, 2
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session9.bytes,17.33612,14,0,14,40.49995,4.500006,56.95201,6, 2
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session10.bytes,16.15923,13,1,13,37.49995,5.400003,49.252,1, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session11.bytes,16.06125,10,2,10,23.69999,6.739998,48.31201,4, 0
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session12.bytes,17.30882,10,4,8,21.6,16.02001,62.556,1, 2
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session13.bytes,16.58189,9,3,8,22.2,11.82001,45.38401,0, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session14.bytes,15.99836,11,1,12,32.99997,11.40001,48.804,2, 3
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session15.bytes,16.89006,9,3,10,21.89999,14.10001,55.624,2, 2
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session16.bytes,19.70021,11,1,9,18,16.34,54.54,0, 3
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session17.bytes,18.82336,15,1,14,32.69997,6.300003,57.66402,1, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session18.bytes,15.94386,11,2,11,23.69999,8.819998,47.31601,0, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session19.bytes,15.97464,16,1,17,37.19995,0.9000052,55.20801,6, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session20.bytes,17.08536,14,2,14,50.09992,5.080004,61.20401,2, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session21.bytes,16.96879,11,4,13,27.89997,8.779991,42.28,0, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerB/replay2020-12-11--18-34-48Session22.bytes,12.15178,10,0,9,27.59998,0.9000031,40.384,1, 4
