File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session0.bytes,17.20592,1,0,0,0,0,9.536743E-07,0, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session1.bytes,17.64861,13,0,8,23.69999,2.540008,57.18001,2, 3
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session2.bytes,17.08288,8,4,9,26.87999,8.500013,41.04802,1, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session3.bytes,17.27305,5,7,7,25.10999,10.00001,36.28401,0, 7
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session4.bytes,17.70669,12,5,13,29.39997,9.679995,50.98001,2, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session5.bytes,17.0779,8,4,9,27.29998,8.720013,42.28801,1, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session6.bytes,17.81375,9,3,8,31.49997,8.02001,61.76402,3, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session7.bytes,15.02706,8,1,6,20.7,8.840017,48.03601,1, 4
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session8.bytes,16.31388,8,4,9,32.69999,4.720015,56.20001,0, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-30-39Session9.bytes,8.895426,3,4,3,14.10002,3.820009,23.56001,0, 3
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session0.bytes,16.55249,11,1,8,28.49998,3.440012,41.96001,0, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session1.bytes,17.13154,12,5,12,34.79996,9.700019,50.11601,1, 7
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session2.bytes,15.64598,9,2,6,31.49997,4.48002,45.82001,0, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session3.bytes,15.42242,10,2,9,35.09996,4.260009,45.51601,0, 8
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session4.bytes,25.76829,15,4,10,36.29997,9.040018,86.30801,2, 6
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session5.bytes,15.75735,9,1,8,28.79998,2.840009,46.68001,4, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session6.bytes,16.99362,11,0,7,25.49998,0.6000051,54.80801,0, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session7.bytes,20.25677,10,6,14,43.19994,17.66001,69.66801,2, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session8.bytes,18.15055,7,3,8,36.59996,3.510014,47.916,0, 8
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session9.bytes,15.17491,10,0,7,25.19999,0.900002,48.90401,2, 5
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session10.bytes,17.43084,9,4,4,9.300026,12.06003,60.884,0, 2
Assets/DropFeetGame/RecordedReplays/Collection2/PlayerT/replay2020-20-10--17-33-37Session11.bytes,9.08177,5,2,6,16.2,8.21,29.812,0, 2
