File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score,difference,points scored
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session0.bytes,15.22835,10,2,11,25.19998,3.220006,27.748,2,4,-2,6
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session1.bytes,16.65159,20,2,21,41.99994,9.799995,61.74403,4,5,-1,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session2.bytes,16.88836,23,4,26,46.79993,15.35998,54.71201,3,6,-3,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session3.bytes,15.74098,21,1,20,47.39993,6.550008,54.32,1,10,-9,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session4.bytes,15.198,20,1,21,48.59993,7.110014,51.32001,1,9,-8,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session5.bytes,17.20741,20,4,23,51.59992,9.050005,62.56401,4,8,-4,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session6.bytes,16.11347,20,5,24,45.59993,14.44998,55.22802,2,6,-4,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session7.bytes,16.13848,21,3,24,45.29994,12.1,54.96,3,7,-4,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session8.bytes,17.71712,24,3,27,53.69991,11.74999,63.82402,3,5,-2,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session9.bytes,15.21462,19,3,19,45.89993,5.740013,52.72801,1,9,-8,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session10.bytes,16.57643,23,1,20,44.99993,7.490005,52.32,2,10,-8,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session11.bytes,17.60356,22,4,25,51.29992,11.79001,63.86802,0,8,-8,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session12.bytes,15.14786,18,4,22,53.39991,4.320006,60.96801,1,9,-8,10
