File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-56-13Session0.bytes,17.81058,5,1,2,8.100414,2.540422,30.94006,0, 1
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-56-13Session1.bytes,16.76234,10,0,8,24.3,0.6001652,39.98006,0, 6
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session0.bytes,16.10185,7,0,5,22.80001,0.3002182,35.21203,0, 5
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session1.bytes,16.41604,9,1,9,32.09999,1.200322,44.4001,0, 7
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session2.bytes,15.15942,9,0,8,30.89999,0.6002444,39.92809,0, 8
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session3.bytes,16.96214,10,1,11,45.29995,0.300477,55.8801,4, 4
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session4.bytes,16.53837,12,1,12,45.29995,0.6005486,55.39204,5, 4
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session5.bytes,15.37234,14,0,14,46.49998,0.3005394,57.34414,7, 1
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session6.bytes,15.66155,11,3,14,48.59994,0.0004604384,62.09604,9, 0
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session7.bytes,16.97534,12,2,14,49.49995,0.600466,57.64006,4, 4
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session8.bytes,16.90079,13,1,9,24.60066,6.121583,51.42406,1, 5
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session9.bytes,17.94251,17,0,14,44.99997,1.980528,61.60809,7, 4
Assets/DropFeetGame/RecordedReplays/PlayerA/NEWreplay2020-04-5--10-59-24Session10.bytes,15.00524,12,0,12,45.89999,0.000555791,52.00807,5, 4
