File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-32-49Session0.bytes,33.59826,11,0,0,0,0,64.12002,0, 0
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session0.bytes,22.90623,7,1,4,20.1,2.540009,37.832,0, 3
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session1.bytes,18.60511,9,3,7,28.79998,7.320005,48.08001,0, 4
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session2.bytes,16.79952,10,0,6,20.4,0.3000026,38.984,0, 5
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session3.bytes,15.20761,11,0,10,29.39997,0.3000014,45.74,2, 6
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session4.bytes,17.65037,9,1,8,17.1,0.300002,44.06,1, 3
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session5.bytes,15.80054,11,1,8,27.29998,0.6000021,50.56401,0, 6
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session6.bytes,15.98733,10,2,4,19.2,8.960001,51.148,0, 2
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session7.bytes,16.48873,11,1,9,40.49995,2.240011,58.108,2, 5
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session8.bytes,16.83748,12,1,12,38.99995,0.3000058,61.576,4, 2
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session9.bytes,16.74753,13,0,12,40.49994,0.9000018,54.644,3, 6
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session10.bytes,18.92386,10,4,7,26.99998,8.890003,63.35999,2, 2
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session11.bytes,17.36618,10,2,9,33.89996,0.900007,62.54,2, 4
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session12.bytes,16.57323,10,3,8,38.39996,9.260031,58.11201,5, 1
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session13.bytes,22.89294,6,6,8,40.19995,8.960032,52.68801,4, 2
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session14.bytes,15.2387,12,1,11,36.89996,2.540008,53.56,5, 2
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session15.bytes,18.90002,11,2,10,42.29994,4.780021,52.83601,0, 6
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session16.bytes,16.93126,10,5,10,48.59993,11.20002,64.40802,4, 1
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session17.bytes,21.64448,13,6,8,24.89999,7.720013,82.19601,1, 3
Assets/DropFeetGame/RecordedReplays/PlayerB/replay2020-10-6--17-35-40Session18.bytes,17.59272,9,6,9,38.69995,12.18,57.57601,3, 1
