File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session0.bytes,31.51471,6,0,1,5.1,1.192093E-07,34.19201,0, 1
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session1.bytes,21.64096,8,6,7,26.7,8.240026,58.596,0, 6
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session2.bytes,19.92954,9,2,5,21.29999,5.02002,51.008,0, 4
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session3.bytes,17.70465,6,0,3,13.2,2.240001,27.22,0, 2
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session4.bytes,15.98022,8,2,3,8.400002,1.680003,45.37599,0, 2
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session5.bytes,15.18475,12,2,10,29.99997,4.420012,47.628,0, 7
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session6.bytes,15.13552,10,2,9,34.79996,4.780013,50.88001,1, 5
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session7.bytes,63.14114,5,0,4,21.3,0.3000023,28.50401,0, 4
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-32-05Session8.bytes,6.031626,3,1,2,10.2,2.240007,14.616,0, 1
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-36-39Session0.bytes,29.06967,7,7,4,12.90002,7.600052,42.292,0, 1
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session0.bytes,23.14738,7,6,4,18.30003,12.31002,41.44,0, 3
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session1.bytes,17.17841,8,2,7,25.79998,4.420006,39.81601,0, 4
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session2.bytes,16.12823,8,3,7,32.99998,4.12001,41.048,0, 5
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session3.bytes,17.20693,10,4,12,33.89996,3.52001,49.09602,3, 4
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session4.bytes,17.64136,10,2,9,29.39997,4.480005,43.81601,1, 4
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session5.bytes,16.56526,12,1,11,40.49994,0.5600027,43.28001,2, 7
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session6.bytes,18.56271,8,8,11,34.79996,10.28,60.56001,0, 5
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session7.bytes,15.59284,13,1,13,43.19994,3.000007,54.76401,6, 2
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session8.bytes,16.26884,13,0,13,47.99993,0.9000069,56.86401,6, 3
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session9.bytes,15.71471,8,5,9,40.49994,7.020008,50.90802,3, 4
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-37-43Session10.bytes,8.566062,6,1,6,18.6,4.589558E-06,27.848,5, 0
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-42-03Session0.bytes,16.26404,7,2,8,25.49999,2.540012,33.58001,2, 2
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-42-03Session1.bytes,20.48812,12,2,9,31.79997,6.720024,56.16001,3, 1
Assets/DropFeetGame/RecordedReplays/PlayerET/replay2020-09-6--22-42-03Session2.bytes,14.88109,12,2,9,30.29997,8.84001,44.932,1, 5
