File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-15-4--19-17-35Session0.bytes,41.81544,11,1,0,0.0001306534,3.82013,54.952,0, 0
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session0.bytes,406.3245,1,0,0,0,0,2.304,0, 0
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session1.bytes,33.23883,13,4,7,20.4,4.120042,75.688,2, 2
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session2.bytes,15.43059,9,0,4,15.00004,2.24004,41.39201,1, 1
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session3.bytes,15.51115,14,1,14,45.89993,0.1400199,51.18003,6, 2
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session4.bytes,16.57977,14,1,15,51.89992,0.300028,56.88802,6, 1
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session5.bytes,16.14595,15,0,14,43.79993,0.6000159,57.98402,3, 5
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session6.bytes,16.63113,14,2,14,43.19994,0.6000196,49.70802,2, 6
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session7.bytes,20.34717,10,6,5,21.60003,14.15999,57.11201,1, 0
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session8.bytes,15.98089,10,2,9,27.29999,7.020034,37.484,0, 5
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session9.bytes,15.4738,10,0,8,33.59996,2.133101E-05,47.12002,2, 3
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session10.bytes,16.08247,11,1,10,36.89996,2.100019,43.04401,4, 2
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session11.bytes,15.14659,6,0,6,22.8,1.195073E-05,26.068,3, 1
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session12.bytes,16.38461,13,4,11,33.59999,9.520029,58.86002,5, 1
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session13.bytes,15.45196,15,0,14,43.79993,0.6000207,61.16002,5, 2
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session14.bytes,15.15864,11,2,8,27.59998,6.040017,47.13201,0, 4
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session15.bytes,16.43438,11,2,13,49.79992,1.120031,53.57602,4, 5
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session16.bytes,16.33434,12,1,7,20.1,8.680017,42.488,2, 1
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session17.bytes,16.86679,12,2,14,52.19992,0.3000263,57.29601,6, 1
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session18.bytes,16.81436,14,1,15,56.69991,0.7000275,60.36402,6, 3
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session19.bytes,18.9877,13,1,9,36.59996,6.72001,60.63202,2, 3
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session20.bytes,15.69659,16,0,16,59.0999,3.266335E-05,63.20402,7, 2
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session21.bytes,17.94832,18,1,16,51.59992,3.140037,67.96002,3, 5
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session22.bytes,18.68595,18,5,15,43.19995,12.04003,61.55602,3, 3
Assets/DropFeetGame/RecordedReplays/PlayerS/NEWreplay2020-16-4--10-33-31Session23.bytes,2.221279,1,0,0,0,0,1.960001,0, 0
